Spain;6;Argentina;1
England;1;Italy;1
Belgium;4;Saudi Arabia;1
Germany;0;Brazil;1
Poland;3;South Korea;2
Romania;1;Sweden;0
Denmark;0;Chile;0
Hungary;0;Scotland;1
Montenegro;2;Turley;2
Russia;1;France;3
Portugal;0;Holland;3
Albania;0;Norway;1
Wales;0;Uruguay;1
China;1;Czech Republic;4
Sweden;1;Denmark;0
Northern Ireland;2;South Korea;1
France;2;Colombia;3
Egypt;1;Portugal;2
Germany;1;Spain;1
Holland;0;England;1
Italy;0;Argentina;2
Poland;0;Nigeria;1
Scotland;0;Costa Rica;1
Turkey;1;Rep of Ireland;0
Colombia;0;Australia;0
Russia;0;Brazil;3
Uruguay;2;Czech Republic;0
Denmark;1;Panama;0
China;0;Wales;6
Greece;0;Switzerland;0
Portugal;2;Switzerland;0
Iceland;1;Peru;3
Peru;2;Croatia;0
Tunisia;1;Iran;0
Tunisia;1;Costa Rica;0
Mexico;3;Iceland;0
Mexico;0;Croatia;1
Senegal;1;Nigeria;1
Nigeria;0;Serbia;2
Serbia;1;Morocco;2
Japan;1;South Korea;4
England;0;Brazil;0
Uruguay;0;Poland;0
